Source.Name,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2004.csv,2004-12-10,EQ,1220,1235.5,1214,1211.45,1224.95,1225.65,1226.59,"1,286.00",958.55,777101,953181268,-
2004.csv,2004-12-09,EQ,1204.95,1217,1204.85,1200.8,1215,1211.45,1211.53,"1,286.00",958.55,475153,575659773.8,-
2004.csv,2004-12-08,EQ,1218,1226.6,1196.05,1218.25,1200,1200.8,1211.7,"1,286.00",958.55,916176,1110129696,-
2004.csv,2004-12-07,EQ,1216,1232.9,1215,1214.55,1218,1218.25,1223.17,"1,286.00",958.55,982903,1202262010,-
2004.csv,2004-12-06,EQ,1240,1250,1208.5,1236.75,1212.9,1214.55,1223.01,"1,286.00",958.55,1434234,1754080317,-
2004.csv,2004-12-03,EQ,1249.25,1255.9,1221.55,1242.6,1235.25,1236.75,1238.65,"1,286.00",958.55,1222152,1513822494,-
2004.csv,2004-12-02,EQ,1265,1277,1239.1,1261.55,1246,1242.6,1251.09,"1,286.00",958.55,1207213,1510336317,-
2004.csv,2004-12-01,EQ,1281,1281,1257,1274.65,1258.4,1261.55,1265.85,"1,286.00",958.55,1060233,1342096205,-
2004.csv,2004-11-30,EQ,1248.15,1286,1245,1243.9,1278,1274.65,1262.54,"1,247.70",958.55,1313518,1658363664,-
2004.csv,2004-11-29,EQ,1216,1247.7,1205.55,1216.85,1247,1243.9,1232.02,"1,245.00",958.55,660186,813364075,-
2004.csv,2004-11-25,EQ,1234,1244,1208.65,1233.9,1214,1216.85,1226.43,"1,245.00",958.55,788859,967476443.3,-
2004.csv,2004-11-24,EQ,1239,1245,1230.15,1235.55,1234,1233.9,1239.03,"1,242.00",958.55,402913,499220626.8,-
2004.csv,2004-11-23,EQ,1230.6,1242,1224.15,1222.45,1239.5,1235.55,1234.43,"1,237.00",958.55,539099,665479598.4,-
2004.csv,2004-11-22,EQ,1207.8,1226,1195,1217.1,1226,1222.45,1215.46,"1,237.00",958.55,592284,719897900.6,-
2004.csv,2004-11-19,EQ,1233,1237,1211.1,1231,1214,1217.1,1225.63,"1,234.55",958.55,851595,1043738212,-
2004.csv,2004-11-18,EQ,1209.45,1234.55,1206.5,1205.4,1231,1231,1219.15,"1,209.90",958.55,934016,1138705128,-
2004.csv,2004-11-17,EQ,1191.5,1209.9,1191.5,1190.9,1207,1205.4,1204.98,"1,208.00",958.55,683492,823595547.5,-
2004.csv,2004-11-16,EQ,1198,1198,1184,1196.75,1191,1190.9,1190.54,"1,208.00",958.55,500688,596087823.5,-
2004.csv,2004-11-12,EQ,1204,1208,1190.2,1196.25,1191.85,1196.75,1199.8,"1,203.40",958.55,226676,271965546.8,-
2004.csv,2004-11-11,EQ,1199,1203.4,1191.1,1194.35,1196,1196.25,1198.35,"1,199.00",958.55,654391,784191351.7,-
2004.csv,2004-11-10,EQ,1191,1199,1190.1,1188.4,1195.4,1194.35,1195.19,"1,198.70",958.55,716799,856707978.9,-
2004.csv,2004-11-09,EQ,1187,1197.9,1177,1184.15,1186.1,1188.4,1189.42,"1,198.70",958.55,917339,1091098434,-
2004.csv,2004-11-08,EQ,1165,1188.9,1156,1165.45,1183,1184.15,1179.43,"1,198.70",958.55,1286466,1517295852,-
2004.csv,2004-11-05,EQ,1173.95,1180,1160,1170.4,1165.9,1165.45,1165.94,"1,198.70",958.55,627981,732187594.6,-
2004.csv,2004-11-04,EQ,1181.75,1187.9,1167.7,1175.2,1169,1170.4,1177.48,"1,198.70",958.55,819476,964916886.4,-
2004.csv,2004-11-03,EQ,1161,1184,1161,1159.7,1175.6,1175.2,1175.35,"1,198.70",958.55,1122267,1319061107,-
2004.csv,2004-11-02,EQ,1130,1179.75,1125,1170.65,1160.95,1159.7,1163.79,"1,198.70",958.55,1108005,1289484942,-
2004.csv,2004-11-01,EQ,1150,1174.45,1142.3,1156.25,1170,1170.65,1162.17,"1,198.70",958.55,767196,891608670.9,-
2004.csv,2004-10-29,EQ,1167.95,1167.95,1145.15,1165.95,1158,1156.25,1155.14,"1,198.70",958.55,1082722,1250690943,-
2004.csv,2004-10-28,EQ,1145,1174.8,1145,1139.9,1164,1165.95,1164.97,"1,198.70",958.55,2323927,2707316484,-
2004.csv,2004-10-27,EQ,1142.25,1148,1135.2,1137.2,1140.5,1139.9,1142.43,"1,198.70",958.55,979707,1119246665,-
2004.csv,2004-10-26,EQ,1115.6,1140.95,1115.6,1117.35,1140.2,1137.2,1130.04,"1,198.70",958.55,866595,979286028.1,-
